Cell(title),Comment(EFF),User,Ref,ID,Date,Time,Module type,Pmax,FF,Voc,Isc,Vpmax,Ipmax,Irr,CIrr,TMod,CTMod,Rs,Rsh,CellEff,ModEff,LTI,PN,ClassBin,MeasStat,MachStat
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD92,A8BFD92,02-01-2025,11:08:46,TP545HG10-8000011181,549.119,81.0466,50.441,13.432,42.708,12.857,999.7,1000,24.1,25,0.2579,475.1933,NA,21.3084,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C06CC,A8C06CC,02-01-2025,11:09:39,TP550HG10-8000011180,551.055,81.0299,50.414,13.49,42.678,12.912,999.7,1000,23.9,25,0.255,484.1547,NA,21.3836,0.0013,TP550HG10-8000011180,3,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD84,A8BFD84,02-01-2025,11:10:47,TP545HG10-8000011181,546.085,80.8861,50.374,13.402,42.625,12.811,999.7,1000,23.3,25,0.2613,415.566,NA,21.1907,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD6C,A8BFD6C,02-01-2025,11:12:19,TP545HG10-8000011181,546.78,80.7206,50.359,13.451,42.64,12.823,999.7,1000,23.8,25,0.2587,196.275,NA,21.2177,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD8A,A8BFD8A,02-01-2025,11:13:21,TP545HG10-8000011181,548.012,81.5431,50.161,13.398,42.64,12.852,999.7,1000,23.9,25,0.2429,389.4495,NA,21.2655,0.0015,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD9C,A8BFD9C,02-01-2025,11:13:48,TP545HG10-8000011181,548.045,81.5953,50.023,13.427,42.579,12.871,999.8,1000,24.2,25,0.2392,320.6328,NA,21.2668,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD8F,A8BFD8F,02-01-2025,11:14:20,TP545HG10-8000011181,548.3,81.1458,50.441,13.396,42.762,12.822,999.8,1000,24.4,25,0.2563,316.6029,NA,21.2767,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD74,A8BFD74,02-01-2025,11:15:58,TP540HG10-8000011182,544.377,80.5859,50.381,13.408,42.533,12.799,999.7,1000,24,25,0.2646,339.9345,NA,21.1245,0.0011,TP540HG10-8000011182,1,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD8B,A8BFD8B,02-01-2025,11:16:36,TP545HG10-8000011181,545.48,80.884,50.33,13.4,42.6,12.805,999.8,1000,23.2,25,0.2579,553.2281,NA,21.1672,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD97,A8BFD97,02-01-2025,11:19:05,TP545HG10-8000011181,547.501,81.0027,50.366,13.42,42.668,12.832,999.6,1000,23.8,25,0.2545,299.471,NA,21.2457,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD94,A8BFD94,02-01-2025,11:20:06,TP545HG10-8000011181,548.11,80.8881,50.439,13.434,42.754,12.82,999.7,1000,24.2,25,0.2542,221.0712,NA,21.2693,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD86,A8BFD86,02-01-2025,11:20:34,TP545HG10-8000011181,549.195,81.3683,50.289,13.421,42.755,12.845,999.8,1000,24.5,25,0.2414,359.2071,NA,21.3114,0.0014,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD91,A8BFD91,02-01-2025,11:21:05,TP545HG10-8000011181,549.801,81.0341,50.578,13.414,42.859,12.828,999.9,1000,24.8,25,0.2548,256.9355,NA,21.3349,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD90,A8BFD90,02-01-2025,11:21:46,TP545HG10-8000011181,548.992,80.9086,50.565,13.419,42.824,12.82,999.8,1000,24.6,25,0.2627,205.3502,NA,21.3035,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD8E,A8BFD8E,02-01-2025,11:22:42,TP550HG10-8000011180,550.446,81.5581,50.317,13.413,42.797,12.862,999.8,1000,24.6,25,0.2401,393.2383,NA,21.36,0.0013,TP550HG10-8000011180,3,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD82,A8BFD82,02-01-2025,11:23:32,TP545HG10-8000011181,546.491,80.943,50.292,13.425,42.682,12.804,999.7,1000,24,25,0.2498,282.3691,NA,21.2065,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD8C,A8BFD8C,02-01-2025,11:24:03,TP545HG10-8000011181,545.925,80.7252,50.381,13.423,42.627,12.807,999.9,1000,24.4,25,0.2658,273.6949,NA,21.1845,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD80,A8BFD80,02-01-2025,11:25:12,TP545HG10-8000011181,548.811,81.4772,50.205,13.417,42.67,12.862,999.7,1000,23.7,25,0.2399,357.2394,NA,21.2965,0.0016,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD77,A8BFD77,02-01-2025,11:26:41,TP545HG10-8000011181,547.649,81.0041,50.418,13.409,42.696,12.827,999.7,1000,23.9,25,0.2581,454.9102,NA,21.2514,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD69,A8BFD69,02-01-2025,11:27:14,Unclassified,500.522,74.0178,50.32,13.438,43.926,11.395,999.8,1000,23.2,25,0.2592,160.8565,NA,19.4227,0.0014,Unclassified,5,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD69,A8BFD69,02-01-2025,11:27:47,TP545HG10-8000011181,546.976,80.9384,50.403,13.408,42.707,12.808,999.9,1000,23.8,25,0.2553,267.881,NA,21.2253,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFCE2,A8BFCE2,02-01-2025,11:28:24,TP540HG10-8000011182,544.807,80.9216,50.199,13.412,42.539,12.807,999.8,1000,25.2,25,0.2548,284.1843,NA,21.1411,0.0011,TP540HG10-8000011182,1,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C082E,A8C082E,02-01-2025,11:28:55,TP545HG10-8000011181,546.609,81.2156,50.168,13.416,42.603,12.83,999.9,1000,23.5,25,0.2511,374.4706,NA,21.2111,0.0021,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C0822,A8C0822,02-01-2025,11:29:36,TP545HG10-8000011181,547.501,81.1044,50.337,13.411,42.706,12.82,999.9,1000,23.8,25,0.245,262.9336,NA,21.2457,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8C0823,A8C0823,02-01-2025,11:30:32,TP545HG10-8000011181,548.338,81.3678,50.241,13.413,42.692,12.844,999.7,1000,23.6,25,0.2501,275.4111,NA,21.2782,0.0014,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD2C,A8BFD2C,02-01-2025,11:31:13,TP545HG10-8000011181,547.203,81.0585,50.394,13.396,42.697,12.816,999.8,1000,23.5,25,0.2552,352.2532,NA,21.2341,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD57,A8BFD57,02-01-2025,11:32:22,TP545HG10-8000011181,548.985,81.1979,50.401,13.415,42.715,12.852,999.7,1000,23.3,25,0.2553,394.5076,NA,21.3032,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD3B,A8BFD3B,02-01-2025,11:33:22,TP545HG10-8000011181,548.235,80.9722,50.42,13.429,42.757,12.822,999.7,1000,23.8,25,0.2552,195.8967,NA,21.2741,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD4E,A8BFD4E,02-01-2025,11:34:02,TP545HG10-8000011181,546.581,80.8117,50.424,13.414,42.669,12.81,999.8,1000,23.6,25,0.2594,314.1488,NA,21.21,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD56,A8BFD56,02-01-2025,11:34:42,TP545HG10-8000011181,547.015,80.943,50.38,13.414,42.644,12.827,999.8,1000,23.7,25,0.2562,364.9323,NA,21.2268,0.0011,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFD47,A8BFD47,02-01-2025,11:35:10,TP545HG10-8000011181,547.336,80.9216,50.466,13.403,42.752,12.803,999.9,1000,24.1,25,0.2508,308.4369,NA,21.2393,0.0012,TP545HG10-8000011181,2,Ok,Ok
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFDC2,A8BFDC2,02-01-2025,11:36:07,TP545HG10-8000011181,547.669,81.3649,50.19,13.411,42.643,12.843,999.7,1000,23.6,25,0.2498,315.5345,NA,21.2522,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFDBD,A8BFDBD,02-01-2025,11:36:35,TP545HG10-8000011181,547.501,81.5492,50.1,13.401,42.614,12.848,999.9,1000,23.8,25,0.2372,342.9604,NA,21.2457,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFDB9,A8BFDB9,02-01-2025,11:37:37,TP545HG10-8000011181,547.751,81.2451,50.231,13.422,42.605,12.856,999.7,1000,23.6,25,0.2535,301.1822,NA,21.2554,0.0013,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFDBA,A8BFDBA,02-01-2025,11:38:05,TP545HG10-8000011181,548.416,81.23,50.296,13.423,42.689,12.847,999.8,1000,23.6,25,0.2516,289.7519,NA,21.2812,0.0012,TP545HG10-8000011181,2,Ok,At Risk
AKS10D1,EFF-23.10%, - ENGINEER,I9250102A8BFDBE,A8BFDBE,02-01-2025,11:38:37,TP545HG10-8000011181,546.9,81.3239,50.104,13.422,42.541,12.856,999.8,1000,23.7,25,0.2541,325.5346,NA,21.2224,0.0013,TP545HG10-8000011181,2,Ok,At Risk
